Name,BPD_GT,BPD_R,BPD_E,HC_GT,HC_R,HC_E,AC_GT,AC_R,AC_E,FL_GT,FL_R,FL_E
191011020856_@00000052@-02600-02100,,,,,,,,,,46.73607759,50.10135409,3.3652765
190823031028_@00000340@-01709-02123,,,,,,,264.4985051,269.1393738,4.6408687,54.87510148,58.71012052,3.83501904
190925061636_@00000474@-00000-01651,56.20440875,55.47069508,0.73371367,209.1218923,210.2337883,1.111896,180.9342077,184.2971558,3.3629481,39.27013492,40.32045728,1.05032236
190927010803_@00000047@-00103-02153,48.18435959,48.15427311,0.03008648,187.3312533,187.8159644,0.4847111,157.9383029,169.8126428,11.8743399,35.95204709,36.8466005,0.89455341
190924010817_@00000008@-24131-01748,78.21594655,77.32018905,0.8957575,287.9758151,284.5565595,3.4192556,,,,,,
190828010817_@00000234@-04311-04886,,,,,,,,,,34.02590929,35.83731596,1.81140667
190618010801_@00000031@-00054-02832,63.4892713,65.06003886,1.57076756,237.9460559,244.2674821,6.3214262,197.4393289,200.5117813,3.0724524,46.77437452,47.6455922,0.87121768
191015010803_@00000057@-23520-02617,,58.63918206,,219.2135488,224.6698085,5.4562597,193.0543367,189.4759145,3.5784222,40.37367291,40.74789105,0.37421814
191105040914_@00000105@-11631-01685,61.75066595,60.24638227,1.50428368,241.4170236,239.1330843,2.2839393,216.616075,218.6992574,2.0831824,45.74430252,46.1071768,0.36287428
190731010804_@00000148@-20054-02612,,,,,,,208.9506251,216.010732,7.0601069,47.97500901,50.00156085,2.02655184
190726010800_@00000145@-15518-02810,77.20983889,77.88433715,0.67449826,292.0705568,296.26725,4.1966932,266.2521794,266.6454429,0.3932635,59.80297409,58.63002108,1.17295301
190624030759_@00000036@-03800-02800,61.80693885,62.2152451,0.40830625,233.4295161,232.7069484,0.7225677,208.8751872,211.0164159,2.1412287,44.42284958,45.34094451,0.91809493
190731010804_@00000148@-31210-01526,65.09781589,64.51794352,0.57987237,240.2069513,242.0103643,1.803413,,,,43.15792228,45.41547133,2.25754905
191023031050_@00000079@-02812-03031,65.51974988,64.93755075,0.58219913,238.3389146,232.7932843,5.5456303,204.90817,206.2627432,1.3545732,41.40461963,42.04348795,0.63886832
190619010803_@00000032@-11449-04715,,,,,,,281.3691723,281.9179373,0.548765,55.05010703,57.18506015,2.13495312
190919010802_@00000280@-03620-02500,,,,,,,259.383327,257.3835151,1.9998119,54.2592147,55.61141588,1.35220118
191031010804_@00000092@-11203-04454,68.63802156,68.63123486,0.0067867,253.4556081,251.022095,2.4335131,,,,48.61057031,49.39073955,0.78016924
190819050942_@00000294@-00316-02107,75.73014885,76.9426164,1.21246755,283.4476714,283.6327804,0.185109,247.2770236,256.909707,9.6326834,52.89137525,55.05875965,2.1673844
191106051128_@00000113@-00000-02307,74.61670429,74.7120006,0.09529631,273.3137124,275.7626759,2.4489635,238.7700143,247.2128855,8.4428712,51.35600992,51.77519846,0.41918854
190821061122_@00000205@-00000-02143,61.65833574,60.80922491,0.84911083,229.8484882,225.1195653,4.7289229,211.7481476,213.721081,1.9729334,48.43767814,48.64407418,0.20639604
191105030851_@00000104@-00000-01921,84.21109577,84.95576672,0.74467095,309.6141014,307.6799161,1.9341853,273.6619086,280.5113249,6.8494163,62.68473968,62.45851901,0.22622067
190918021537_@00000383@-04500-02330,,,,,,,284.0612781,281.8696936,2.1915845,56.90592088,59.22072605,2.31480517
190822101157_@00000216@-00000-02635,73.44646315,74.10654034,0.66007719,273.5806568,277.4975728,3.916916,229.9075085,228.883984,1.0235245,51.97901457,52.27025943,0.29124486
190724010758_@00000143@-00526-02651,58.60082275,56.8827358,1.71808695,217.6433879,216.1778606,1.4655273,185.6135202,185.8911163,0.2775961,40.69315964,41.29032258,0.59716294
190624030759_@00000036@-10602-02458,,,,,,,302.7005408,300.8140062,1.8865346,61.19463611,60.67851802,0.51611809
190924011502_@00000468@-00015-02516,65.57405277,64.84280021,0.73125256,228.8550007,228.8638059,0.0088052,,,,39.6578524,40.72745427,1.06960187
190530010802_@00000013@-24430-02310,60.14599224,59.97441355,0.17157869,235.5605838,234.1482144,1.4123694,223.0611377,217.6703242,5.3908135,,,
200122101635_@00000822@,,,,,,,156.3771709,165.3297711,8.9526002,,,
190719020751_@00000138@-33107-02028,,,,,,,221.4536049,212.7457821,8.7078228,50.44055866,52.01187155,1.57131289
190920051057_@00000453@-00001-02353,55.13652339,55.62124086,0.48471747,207.4551833,207.5610634,0.1058801,171.107482,177.8434126,6.7359306,41.09819502,42.59052148,1.49232646
191101041024_@00000101@-11352-02031,53.20964724,51.88817748,1.32146976,196.2550279,193.7145929,2.540435,,,,,,
190827031045_@00000347@-00010-03513,75.75295427,75.75579479,0.00284052,271.5865624,272.5403873,0.9538249,250.099665,246.9033289,3.1963361,52.59540646,53.01333406,0.4179276
190710010754_@00000130@-12246-04607,71.56520208,71.99569251,0.43049043,262.5928777,258.8517195,3.7411582,221.209548,216.989006,4.220542,49.31924945,47.81062365,1.5086258
190805010846_@00000171@-11751-03752,68.64478921,69.60195833,0.95716912,256.468618,257.7418315,1.2732135,220.0482989,212.7348588,7.3134401,,,
191014041407_@00000499@-05549-02415,,,,,,,,,,39.39743117,42.37368893,2.97625776
190618010801_@00000031@-40100-02000,77.9762895,78.09713638,0.12084688,284.6216186,284.6231824,0.0015638,241.5983495,246.5619778,4.9636283,52.1540193,52.30211034,0.14809104
190923020929_@00000282@-00000-01733,81.76801671,82.58882752,0.82081081,298.8093923,300.0545579,1.2451656,280.3233686,284.1138596,3.790491,55.2727432,59.02274926,3.75000606
200121110926_@00000782@,75.1514471,75.11299452,0.03845258,280.0624846,280.7610606,0.698576,258.8560595,268.8891724,10.0331129,54.42572869,57.62345996,3.19773127
190930010806_@00000490@-11523-01927,59.29634921,58.19480151,1.1015477,216.3510367,217.9137289,1.5626922,190.3150672,199.4458496,9.1307824,41.1195781,41.46072945,0.34115135
191014030946_@00000498@-12535-01949,56.17021801,54.78175341,1.3884646,210.6135638,207.4146176,3.1989462,182.1021092,193.4336663,11.3315571,36.25786309,37.17811082,0.92024773
190919020931_@00000386@-00100-02425,81.29375842,80.26762398,1.02613444,296.265537,297.1672695,0.9017325,280.6508324,278.6803082,1.9705242,62.48316114,63.51366717,1.03050603
191010010812_@00000050@-13236-03354,63.68295548,64.71749657,1.03454109,231.3340143,231.0165017,0.3175126,,,,45.97680422,46.13152841,0.15472419
190725010759_@00000144@-22714-02541,,,,,,,252.3255138,243.8395087,8.4860051,52.1905164,52.05959417,0.13092223
190718010750_@00000136@-04842-04402,57.35800093,57.27300551,0.08499542,218.7329715,224.6326898,5.8997183,189.3223038,187.7384158,1.583888,34.44127682,34.74624725,0.30497043
190827041514_@00000348@-00000-01110,,,,,,,275.200108,276.1328627,0.9327547,62.72064891,65.11132631,2.3906774
190919010847_@00000385@-00124-03416,76.96242112,79.24516405,2.28274293,303.892671,302.2155827,1.6770883,258.5907577,266.4512817,7.860524,59.18850273,59.88140784,0.69290511
190722020802_@00000140@-13639-01605,81.22547079,83.06467272,1.83920193,298.961359,299.6147048,0.6533458,,,,,,
190730010804_@00000147@-35009-00919,,87.17574079,,304.9938725,308.939583,3.9457105,283.9777829,269.5472217,14.4305612,59.03674095,61.16498219,2.12824124
190618010801_@00000031@-25200-05200,42.81195127,42.20363146,0.60831981,164.6163573,163.2137082,1.4026491,,,,23.28733402,,
190917010816_@00000376@-00053-02702,,,,,,,172.5787809,177.5814324,5.0026515,40.40675302,40.29130254,0.11545048
190617010757_@00000030@-05830-02336,77.55264834,76.2219125,1.33073584,287.9374426,293.822882,5.8854394,237.9272882,242.2888745,4.3615863,52.98333978,57.07034198,4.0870022
190723020817_@00000142@-02619-02631,54.47993228,55.09687379,0.61694151,206.3011883,210.5607615,4.2595732,171.4667371,179.0294369,7.5626998,38.28207627,39.52259169,1.24051542
190925010829_@00000469@-02924-02029,56.70669827,55.88849483,0.81820344,212.7175594,210.746461,1.9710984,189.855136,198.6323429,8.7772069,38.66851554,41.18658593,2.51807039
190719020751_@00000138@-02502-02153,,,,,,,286.2433122,287.4483963,1.2050841,55.76392027,58.61261218,2.84869191
190916040955_@00000375@-05308-01727,,,,,,,162.6731971,169.5475998,6.8744027,,,
190903020835_@00000241@-05021-03251,,83.22330579,,296.982611,297.0326525,0.0500415,280.5183496,277.6164652,2.9018844,63.08506378,65.51811434,2.43305056
190821010801_@00000200@-20917-01517,72.3759998,72.77048957,0.39448977,256.1204352,259.5225736,3.4021384,231.0731274,226.3006902,4.7724372,52.1899375,54.26286849,2.07293099
190918010832_@00000382@-30020-04941,,,,,,,195.423897,194.6351102,0.7887868,,,
190820181515_@00000317@-10818-02600,,,,,,,126.9818538,137.941969,10.9601152,25.79156183,26.92010099,1.12853916
190717010754_@00000135@-00903-01943,83.33020921,82.20246616,1.12774305,300.5610663,293.5670001,6.9940662,,,,50.32188078,52.1297256,1.80784482
190819061012_@00000295@-00039-01921,69.40316059,68.96884921,0.43431138,258.1003566,257.5825302,0.5178264,224.4676799,241.903888,17.4362081,46.42422614,49.02245973,2.59823359
190926010811_@00000045@-00839-03555,56.20083379,55.63841326,0.56242053,222.9714733,226.2971331,3.3256598,186.0287737,201.1048509,15.0760772,48.38252978,49.04079934,0.65826956
190605010802_@00000017@-00844-04046,56.56189827,56.50458633,0.05731194,225.4575156,229.6181084,4.1605928,211.0257947,216.8556081,5.8298134,47.64985868,47.4845176,0.16534108
190927010807_@00000483@-11312-01842,59.57894909,59.64854925,0.06960016,220.8765994,220.5312888,0.3453106,175.8025855,182.0232161,6.2206306,38.3415683,40.14395172,1.80238342
190705010800_@00000041@-10856-03133,,,,,,,270.164867,261.7953311,8.3695359,57.57503674,58.94330654,1.3682698
190930021021_@00000491@-01505-04810,57.7097698,56.93134857,0.77842123,205.8988306,202.9888449,2.9099857,177.5995131,182.4881476,4.8886345,38.33627492,39.82155114,1.48527622
190925041409_@00000472@-00919-02531,57.87671967,57.73281793,0.14390174,214.1596263,215.7192038,1.5595775,186.624895,186.0234944,0.6014006,40.60083332,42.75331993,2.15248661
191012011533_@00000495@-00000-02036,55.53702206,56.77477865,1.23775659,209.9968525,209.4020805,0.594772,,,,,,
190921010802_@00000462@-05053-01908,,,,,,,194.5851156,193.718007,0.8671086,,,
190820151025_@00000314@-00040-02020,79.11756252,77.7330555,1.38450702,282.254283,274.665001,7.589282,240.2464011,255.1510483,14.9046472,52.55557542,53.54808071,0.99250529
190921010802_@00000462@-00639-02155,58.07180916,58.49673644,0.42492728,213.6221103,215.8236363,2.201526,167.0114345,171.9126617,4.9012272,40.37082774,40.86042334,0.4895956
190704010749_@00000040@-11205-02242,,,,,,,227.7815688,238.4996576,10.7180888,,,
190920020840_@00000392@-00003-02129,59.88864741,58.60830664,1.28034077,223.1042602,224.3744384,1.2701782,192.1557113,193.8113361,1.6556248,41.38024018,,
,,,,,,,,,,,,
190826010856_@00000343@-00130-02659,76.11766141,75.86377008,0.25389133,276.4336385,278.3850241,1.9513856,247.8678988,267.2063195,19.3384207,55.36166529,61.26259634,5.90093105
190925021048_@00000043@-00000-05722,87.07315591,86.88216908,0.19098683,306.9631456,303.4767679,3.4863777,268.5720321,278.4516202,9.8795881,55.4588079,58.51310355,3.05429565
190619010803_@00000032@-31235-00925,,,,,,,257.129052,255.714014,1.415038,,,
191010010812_@00000050@-21938-01902,49.25904923,48.73266281,0.52638642,184.0189168,185.4254379,1.4065211,152.8142622,161.3122551,8.4979929,34.03577194,34.88115553,0.84538359
200316030940_@00001297@,51.89149304,51.92419698,0.03270394,196.9534624,195.7116677,1.2417947,162.326565,179.1296607,16.8030957,36.72865045,38.5126351,1.78398465
200325111025_@00001389@,,,,,,,181.5021954,191.7938187,10.2916233,36.57601534,38.63564769,2.05963235
191108030940_@00000119@-11522-03156,,,,,,,,,,61.30718543,56.95925314,4.34793229
190820171430_@00000316@-00106-03137,76.08414291,76.19180124,0.10765833,294.5027858,300.9552493,6.4524635,260.9155178,278.8044459,17.8889281,57.61301926,58.45441767,0.84139841
,,,,,,,,,,,,
avg,,,0.720278191,,,2.538483647,,,6.396670143,,,1.552172686
std,,,0.535547256,,,2.090093417,,,4.733140671,,,1.10444726
