Name,GT,Result,,Error,Error
190730010804_@00000147@-35009-00919,32.85714286,32.55693841,,0.300204447,0.300204447
190618010801_@00000031@-25200-05200,17.14285714,18.81010007,,1.667242927,1.667242927
190917010816_@00000376@-00053-02702,22.85714286,22.6250986,,0.232044257,0.232044257
190617010757_@00000030@-05830-02336,29.28571429,30.08846464,,0.802750354,0.802750354
190723020817_@00000142@-02619-02631,22.42857143,22.54232929,,0.113757861,0.113757861
190925010829_@00000469@-02924-02029,23.42857143,23.13950885,,0.289062579,0.289062579
190719020751_@00000138@-02502-02153,31.14285714,31.52603924,,0.383182097,0.383182097
190916040955_@00000375@-05308-01727,21.28571429,21.94180425,,0.656089964,0.656089964
190903020835_@00000241@-05021-03251,32.28571429,32.76652968,,0.480815394,0.480815394
190821010801_@00000200@-20917-01517,28,27.97693797,,0.02306203,0.02306203
190918010832_@00000382@-30020-04941,24.14285714,24.15980554,,0.016948397,0.016948397
190820181515_@00000317@-10818-02600,18.14285714,18.60651119,,0.463654047,0.463654047
190717010754_@00000135@-00903-01943,30.85714286,30.1483387,,0.708804157,0.708804157
190819061012_@00000295@-00039-01921,27.14285714,27.11129574,,0.031561403,0.031561403
190926010811_@00000045@-00839-03555,24.57142857,24.61501056,,0.043581989,0.043581989
190605010802_@00000017@-00844-04046,25.28571429,24.82096457,,0.464749716,0.464749716
190927010807_@00000483@-11312-01842,,23.21624128,,23.21624128,
190705010800_@00000041@-10856-03133,29.85714286,30.47276869,,0.615625833,0.615625833
190930021021_@00000491@-01505-04810,22.28571429,22.58019963,,0.294485344,0.294485344
190925041409_@00000472@-00919-02531,23.28571429,23.37692079,,0.091206504,0.091206504
191012011533_@00000495@-00000-02036,,22.86255603,,22.86255603,
190921010802_@00000462@-05053-01908,24,24.07792591,,0.07792591,0.07792591
190820151025_@00000314@-00040-02020,29.57142857,29.16932252,,0.402106051,0.402106051
190921010802_@00000462@-00639-02155,23,22.94860114,,0.05139886,0.05139886
190704010749_@00000040@-11205-02242,,28.14677933,,28.14677933,
190920020840_@00000392@-00003-02129,24.14285714,23.39544099,,0.747416153,0.747416153
190712010803_@00000131@-13557-10739,31.85714286,34.3406964,,2.483553543,2.483553543
190826010856_@00000343@-00130-02659,29.57142857,30.65469238,,1.083263809,1.083263809
190925021048_@00000043@-00000-05722,32.71428571,32.00351307,,0.710772644,0.710772644
190619010803_@00000032@-31235-00925,30.42857143,29.74929291,,0.679278519,0.679278519
191010010812_@00000050@-21938-01902,20.85714286,20.70584642,,0.151296437,0.151296437
200316030940_@00001297@,21.85714286,21.86072272,,0.003579863,0.003579863
200325111025_@00001389@,22.85714286,22.93657594,,0.079433083,0.079433083
191108030940_@00000119@-11522-03156,32.42857143,29.87738235,,2.551189079,2.551189079
190820171430_@00000316@-00106-03137,30.85714286,31.19406368,,0.336920823,0.336920823
,,,数目,109,100
,,,平均值,2.567214328,0.515512207
,,,标准差,6.856307182,0.517641716
,,,,,
,,,最大误差,29.69111983,2.906150111
,,,最小误差,0.001298907,0.001298907
,,,,,
,,,超过1周的误差,19,10
